Date,sentiment,sentiment_label,Open,High,Low,Close,Volume
2018-02-01,30,Fear,10269.843886839,10332.946065138,8700.332594602,9171.249368766,4557095326.886569
2018-02-02,15,Extreme Fear,9118.231270487,9127.685960842,7588.546350746,8768.328114939,5511338158.356583
2018-02-03,40,Fear,8763.536968439,9417.790992471,8173.7299468,9191.270887881,4856472806.499911
2018-02-04,24,Extreme Fear,9198.067913658,9351.571884294,7986.357858902,8256.583798421,3993493752.468197
2018-02-05,11,Extreme Fear,8215.505812363,8343.181452195,6665.107706126,6905.959542551,4795001556.727061
2018-02-06,8,Extreme Fear,6910.997302186,7888.143212961,5963.239119047,7768.942754801,5255682912.8747225
2018-02-07,36,Fear,7714.07310376,8503.327576797,7221.330450407,7587.933554388,5174580851.487187
2018-02-08,30,Fear,7569.867386754,8587.375056937,7569.867386754,8256.155151159,4511057946.2046
2018-02-09,44,Fear,8266.287000352,8708.001259213,7850.112866102,8684.106762449,4374319140.231988
2018-02-10,54,Neutral,8697.342477143,9080.513089875,8282.274355868,8624.238537612,4794961601.208557
2018-02-11,31,Fear,8624.258121035,8624.258121035,7914.921550101,8099.307365642,3776449040.8718176
2018-02-12,42,Fear,8120.351924296,8968.577272289,8120.351924296,8863.25280634,3543127386.7016563
2018-02-13,35,Fear,8887.228306759,8906.177327189,8424.412410662,8577.572063714,3616243668.162392
2018-02-14,55,Greed,8564.700308406,9518.54,8564.700308406,9505.15,6626407147.129945
2018-02-15,71,Greed,9494.63,10183.839544352,9408.506508827,10117.074989492,4739907420.80256
2018-02-16,67,Greed,10091.750212088,10275.012369206,9811.975773487,10245.308854663,4465120674.479241
2018-02-17,74,Greed,10234.612793074,11123.134450644,10164.864839284,11095.608602104,4558021813.753084
2018-02-18,63,Greed,11124.360485028,11326.127511759,10338.069950572,10576.175563517,5158247526.95291
2018-02-19,67,Greed,10562.644468981,11224.553488527,10512.369514952,11191.902658673,4101946824.884008
2018-02-20,74,Greed,11197.759777513,11976.619483523,11197.759777513,11446.215061411,4769640709.915539
2018-02-21,54,Neutral,11436.166476281,11436.166476281,10502.252235985,10680.361706517,5508367041.895931
2018-02-22,44,Fear,10691.350530395,11034.671353368,9913.997706791,9987.171846325,5331192808.404261
2018-02-23,39,Fear,9972.72335964,10493.769149903,9732.257318424,10348.067628802,4784103251.902329
2018-02-24,31,Fear,10328.567370931,10605.869417366,9593.227151294,9843.276427204,3787518210.302915
2018-02-25,33,Fear,9844.516789724,9958.130899873,9413.022290432,9699.647408137,3265197229.414529
2018-02-26,37,Fear,9703.321915886,10481.370878649,9513.12294083,10371.772676836,3261955537.9735403
2018-02-27,44,Fear,10388.882339564,10913.296357158,10256.804875528,10736.490533616,3915484543.412996
2018-02-28,41,Fear,10727.535133876,11085.824873453,10402.007260873,10412.024007874,3642202553.5871263
2018-03-01,38,Fear,10423.581475732,10974.716730809,10375.265795632,10929.765497461,3441035104.338815
2018-03-02,47,Neutral,10920.662074394,11157.479571807,10724.630823023,11095.091955664,4030692043.9488583
2018-03-03,56,Greed,11094.237419658,11531.368984275,11094.237419658,11494.898944222,3526443821.1412497
2018-03-04,44,Fear,11497.564316573,11516.383565834,11144.735675761,11516.383565834,3861373865.898047
2018-03-05,55,Greed,11502.666673068,11622.503172979,11394.627184642,11527.568787431,4219752283.9083586
2018-03-06,59,Greed,11520.402454973,11520.402454973,10637.819708432,10697.57229427,4804420267.106466
2018-03-07,37,Fear,10721.475282301,10869.53870738,9701.563390344,9968.268316381,5234978812.590111
2018-03-08,39,Fear,9971.758251061,10139.850278964,9338.281974814,9433.592923413,4793198292.940542
